N,clf,report
3,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7443298969072165, 'recall': 0.8474178403755869, 'f1-score': 0.7925356750823271, 'support': 426}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.7768421052631579, 'recall': 0.8870192307692307, 'f1-score': 0.8282828282828283, 'support': 416}, 'Location_1stParty': {'precision': 0.8494623655913979, 'recall': 0.5197368421052632, 'f1-score': 0.6448979591836734, 'support': 304}, 'accuracy': 0.774869109947644, 'macro avg': {'precision': 0.7902114559205908, 'recall': 0.7513913044166936, 'f1-score': 0.7552388208496096, 'support': 1146}, 'weighted avg': {'precision': 0.7840204284570095, 'recall': 0.774869109947644, 'f1-score': 0.766348022462971, 'support': 1146}}"
3,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7457627118644068, 'recall': 0.8262910798122066, 'f1-score': 0.7839643652561248, 'support': 426}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.8123569794050344, 'recall': 0.8533653846153846, 'f1-score': 0.832356389214537, 'support': 416}, 'Location_1stParty': {'precision': 0.7763713080168776, 'recall': 0.6052631578947368, 'f1-score': 0.6802218114602587, 'support': 304}, 'accuracy': 0.7774869109947644, 'macro avg': {'precision': 0.7781636664287729, 'recall': 0.7616398741074426, 'f1-score': 0.7655141886436402, 'support': 1146}, 'weighted avg': {'precision': 0.7780561049946443, 'recall': 0.7774869109947644, 'f1-score': 0.7740109146564356, 'support': 1146}}"
3,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7687224669603524, 'recall': 0.8192488262910798, 'f1-score': 0.7931818181818182, 'support': 426}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.8404761904761905, 'recall': 0.8485576923076923, 'f1-score': 0.8444976076555025, 'support': 416}, 'Location_1stParty': {'precision': 0.7389705882352942, 'recall': 0.6611842105263158, 'f1-score': 0.6979166666666667, 'support': 304}, 'accuracy': 0.7879581151832461, 'macro avg': {'precision': 0.7827230818906123, 'recall': 0.776330243041696, 'f1-score': 0.7785320308346625, 'support': 1146}, 'weighted avg': {'precision': 0.7868768978941839, 'recall': 0.7879581151832461, 'f1-score': 0.7865385043602184, 'support': 1146}}"
4,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7184873949579832, 'recall': 0.8814432989690721, 'f1-score': 0.7916666666666666, 'support': 388}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.6361904761904762, 'recall': 0.7625570776255708, 'f1-score': 0.6936656282450675, 'support': 438}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.59375, 'recall': 0.3784860557768924, 'f1-score': 0.46228710462287104, 'support': 251}, 'Location_1stParty': {'precision': 0.8212765957446808, 'recall': 0.6050156739811913, 'f1-score': 0.6967509025270759, 'support': 319}, 'accuracy': 0.6905444126074498, 'macro avg': {'precision': 0.692426116723285, 'recall': 0.6568755265881816, 'f1-score': 0.6610925755154203, 'support': 1396}, 'weighted avg': {'precision': 0.6937270930212602, 'recall': 0.6905444126074498, 'f1-score': 0.6800070293728395, 'support': 1396}}"
4,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7253521126760564, 'recall': 0.7963917525773195, 'f1-score': 0.7592137592137591, 'support': 388}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.6283185840707964, 'recall': 0.6484018264840182, 'f1-score': 0.6382022471910112, 'support': 438}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.4978902953586498, 'recall': 0.4701195219123506, 'f1-score': 0.4836065573770492, 'support': 251}, 'Location_1stParty': {'precision': 0.7402135231316725, 'recall': 0.6520376175548589, 'f1-score': 0.6933333333333332, 'support': 319}, 'accuracy': 0.6583094555873925, 'macro avg': {'precision': 0.6479436288092938, 'recall': 0.6417376796321368, 'f1-score': 0.6435889742787881, 'support': 1396}, 'weighted avg': {'precision': 0.6574059724608478, 'recall': 0.6583094555873925, 'f1-score': 0.6566376089395229, 'support': 1396}}"
4,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7786259541984732, 'recall': 0.788659793814433, 'f1-score': 0.7836107554417413, 'support': 388}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.6611764705882353, 'recall': 0.6415525114155252, 'f1-score': 0.6512166859791425, 'support': 438}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5108695652173914, 'recall': 0.5617529880478087, 'f1-score': 0.5351043643263756, 'support': 251}, 'Location_1stParty': {'precision': 0.7317880794701986, 'recall': 0.6927899686520376, 'f1-score': 0.7117552334943638, 'support': 319}, 'accuracy': 0.6797994269340975, 'macro avg': {'precision': 0.6706150173685747, 'recall': 0.6711888154824511, 'f1-score': 0.6704217598104059, 'support': 1396}, 'weighted avg': {'precision': 0.6829303886584622, 'recall': 0.6797994269340975, 'f1-score': 0.6809706278659616, 'support': 1396}}"
5,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.6622390891840607, 'recall': 0.8450363196125908, 'f1-score': 0.7425531914893617, 'support': 413}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5444444444444444, 'recall': 0.7033492822966507, 'f1-score': 0.6137787056367432, 'support': 418}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.4675324675324675, 'recall': 0.3025210084033613, 'f1-score': 0.3673469387755102, 'support': 238}, 'Identifier_IP_Address_1stParty': {'precision': 0.5602836879432624, 'recall': 0.3691588785046729, 'f1-score': 0.4450704225352113, 'support': 214}, 'Location_1stParty': {'precision': 0.6042553191489362, 'recall': 0.45222929936305734, 'f1-score': 0.5173041894353371, 'support': 314}, 'accuracy': 0.5860989355040701, 'macro avg': {'precision': 0.5677510016506343, 'recall': 0.5344589576360667, 'f1-score': 0.5372106895744326, 'support': 1597}, 'weighted avg': {'precision': 0.577327569390198, 'recall': 0.5860989355040701, 'f1-score': 0.5687796646055526, 'support': 1597}}"
5,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7029914529914529, 'recall': 0.7966101694915254, 'f1-score': 0.7468785471055619, 'support': 413}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5444444444444444, 'recall': 0.5861244019138756, 'f1-score': 0.564516129032258, 'support': 418}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.40625, 'recall': 0.38235294117647056, 'f1-score': 0.393939393939394, 'support': 238}, 'Identifier_IP_Address_1stParty': {'precision': 0.475, 'recall': 0.35514018691588783, 'f1-score': 0.40641711229946526, 'support': 214}, 'Location_1stParty': {'precision': 0.559322033898305, 'recall': 0.5254777070063694, 'f1-score': 0.5418719211822661, 'support': 314}, 'accuracy': 0.567313713212273, 'macro avg': {'precision': 0.5376015862668405, 'recall': 0.5291410813008257, 'f1-score': 0.530724620711789, 'support': 1597}, 'weighted avg': {'precision': 0.5584707993157892, 'recall': 0.567313713212273, 'f1-score': 0.5606181608835152, 'support': 1597}}"
5,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7577197149643705, 'recall': 0.7723970944309927, 'f1-score': 0.7649880095923262, 'support': 413}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5891089108910891, 'recall': 0.569377990430622, 'f1-score': 0.5790754257907543, 'support': 418}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.42971887550200805, 'recall': 0.4495798319327731, 'f1-score': 0.43942505133470233, 'support': 238}, 'Identifier_IP_Address_1stParty': {'precision': 0.45535714285714285, 'recall': 0.4766355140186916, 'f1-score': 0.4657534246575342, 'support': 214}, 'Location_1stParty': {'precision': 0.5752508361204013, 'recall': 0.5477707006369427, 'f1-score': 0.5611745513866232, 'support': 314}, 'accuracy': 0.5873512836568566, 'macro avg': {'precision': 0.5614310960670024, 'recall': 0.5631522262900044, 'f1-score': 0.5620832925523881, 'support': 1597}, 'weighted avg': {'precision': 0.5883118663215233, 'recall': 0.5873512836568566, 'f1-score': 0.5876373075591341, 'support': 1597}}"
6,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5096153846153846, 'recall': 0.7535545023696683, 'f1-score': 0.6080305927342256, 'support': 422}, 'Contact_Phone_Number_1stParty': {'precision': 0.3150684931506849, 'recall': 0.115, 'f1-score': 0.1684981684981685, 'support': 200}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.516994633273703, 'recall': 0.7506493506493507, 'f1-score': 0.6122881355932203, 'support': 385}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.5354330708661418, 'recall': 0.26153846153846155, 'f1-score': 0.35142118863049093, 'support': 260}, 'Identifier_IP_Address_1stParty': {'precision': 0.5801526717557252, 'recall': 0.36018957345971564, 'f1-score': 0.44444444444444436, 'support': 211}, 'Location_1stParty': {'precision': 0.5848375451263538, 'recall': 0.5175718849840255, 'f1-score': 0.5491525423728814, 'support': 313}, 'accuracy': 0.5226130653266332, 'macro avg': {'precision': 0.5070169664646655, 'recall': 0.4597506288335369, 'f1-score': 0.45563917871223847, 'support': 1791}, 'weighted avg': {'precision': 0.5146807864536062, 'recall': 0.5226130653266332, 'f1-score': 0.4930494185490139, 'support': 1791}}"
