N,clf,report
3,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.749003984063745, 'recall': 0.8703703703703703, 'f1-score': 0.8051391862955031, 'support': 216}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.884393063583815, 'recall': 0.85, 'f1-score': 0.8668555240793201, 'support': 180}, 'Location_1stParty': {'precision': 0.7669172932330827, 'recall': 0.6335403726708074, 'f1-score': 0.6938775510204082, 'support': 161}, 'accuracy': 0.7953321364452424, 'macro avg': {'precision': 0.8001047802935476, 'recall': 0.7846369143470593, 'f1-score': 0.7886240871317437, 'support': 557}, 'weighted avg': {'precision': 0.7979341045123554, 'recall': 0.7953321364452424, 'f1-score': 0.7929234188301473, 'support': 557}}"
3,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7882882882882883, 'recall': 0.8101851851851852, 'f1-score': 0.7990867579908676, 'support': 216}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.8685714285714285, 'recall': 0.8444444444444444, 'f1-score': 0.8563380281690142, 'support': 180}, 'Location_1stParty': {'precision': 0.73125, 'recall': 0.7267080745341615, 'f1-score': 0.7289719626168223, 'support': 161}, 'accuracy': 0.7971274685816876, 'macro avg': {'precision': 0.7960365722865722, 'recall': 0.7937792347212637, 'f1-score': 0.7947989162589013, 'support': 557}, 'weighted avg': {'precision': 0.7977457404185411, 'recall': 0.7971274685816876, 'f1-score': 0.7973214915220078, 'support': 557}}"
3,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.812206572769953, 'recall': 0.8009259259259259, 'f1-score': 0.8065268065268064, 'support': 216}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.8742857142857143, 'recall': 0.85, 'f1-score': 0.8619718309859156, 'support': 180}, 'Location_1stParty': {'precision': 0.7100591715976331, 'recall': 0.7453416149068323, 'f1-score': 0.7272727272727272, 'support': 161}, 'accuracy': 0.800718132854578, 'macro avg': {'precision': 0.7988504862177668, 'recall': 0.7987558469442527, 'f1-score': 0.7985904549284831, 'support': 557}, 'weighted avg': {'precision': 0.8027425043392411, 'recall': 0.800718132854578, 'f1-score': 0.8015361380218385, 'support': 557}}"
4,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.6725978647686833, 'recall': 0.8552036199095022, 'f1-score': 0.7529880478087649, 'support': 221}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.7595628415300546, 'recall': 0.7942857142857143, 'f1-score': 0.776536312849162, 'support': 175}, 'Identifier_IP_Address_1stParty': {'precision': 0.5064935064935064, 'recall': 0.34210526315789475, 'f1-score': 0.40837696335078527, 'support': 114}, 'Location_1stParty': {'precision': 0.5970149253731343, 'recall': 0.48484848484848486, 'f1-score': 0.5351170568561873, 'support': 165}, 'accuracy': 0.6622222222222223, 'macro avg': {'precision': 0.6339172845413447, 'recall': 0.619110770550399, 'f1-score': 0.6182545952162248, 'support': 675}, 'weighted avg': {'precision': 0.6486153300866154, 'recall': 0.6622222222222223, 'f1-score': 0.6476348170631123, 'support': 675}}"
4,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7346938775510204, 'recall': 0.8144796380090498, 'f1-score': 0.7725321888412017, 'support': 221}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.7405405405405405, 'recall': 0.7828571428571428, 'f1-score': 0.7611111111111111, 'support': 175}, 'Identifier_IP_Address_1stParty': {'precision': 0.47191011235955055, 'recall': 0.3684210526315789, 'f1-score': 0.41379310344827586, 'support': 114}, 'Location_1stParty': {'precision': 0.5769230769230769, 'recall': 0.5454545454545454, 'f1-score': 0.5607476635514018, 'support': 165}, 'accuracy': 0.6651851851851852, 'macro avg': {'precision': 0.6310169018435471, 'recall': 0.6278030947380793, 'f1-score': 0.6270460167379976, 'support': 675}, 'weighted avg': {'precision': 0.6532622252365431, 'recall': 0.6651851851851852, 'f1-score': 0.657214572529533, 'support': 675}}"
4,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.7729257641921398, 'recall': 0.8009049773755657, 'f1-score': 0.7866666666666667, 'support': 221}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.7758620689655172, 'recall': 0.7714285714285715, 'f1-score': 0.7736389684813754, 'support': 175}, 'Identifier_IP_Address_1stParty': {'precision': 0.46153846153846156, 'recall': 0.47368421052631576, 'f1-score': 0.4675324675324675, 'support': 114}, 'Location_1stParty': {'precision': 0.6129032258064516, 'recall': 0.5757575757575758, 'f1-score': 0.59375, 'support': 165}, 'accuracy': 0.682962962962963, 'macro avg': {'precision': 0.6558073801256425, 'recall': 0.6554438337720072, 'f1-score': 0.6553970256701275, 'support': 675}, 'weighted avg': {'precision': 0.6819805523390778, 'recall': 0.682962962962963, 'f1-score': 0.6822334875796672, 'support': 675}}"
5,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.4380664652567976, 'recall': 0.7286432160804021, 'f1-score': 0.5471698113207548, 'support': 199}, 'Contact_Phone_Number_1stParty': {'precision': 0.2972972972972973, 'recall': 0.09322033898305085, 'f1-score': 0.14193548387096774, 'support': 118}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.7197802197802198, 'recall': 0.7751479289940828, 'f1-score': 0.7464387464387464, 'support': 169}, 'Identifier_IP_Address_1stParty': {'precision': 0.5384615384615384, 'recall': 0.32061068702290074, 'f1-score': 0.4019138755980861, 'support': 131}, 'Location_1stParty': {'precision': 0.55625, 'recall': 0.52046783625731, 'f1-score': 0.5377643504531723, 'support': 171}, 'accuracy': 0.5304568527918782, 'macro avg': {'precision': 0.5099711041591706, 'recall': 0.48761800146754924, 'f1-score': 0.4750444535363455, 'support': 788}, 'weighted avg': {'precision': 0.5197415943508914, 'recall': 0.5304568527918782, 'f1-score': 0.5030352148840029, 'support': 788}}"
5,"SGDClassifier(max_iter=5000, n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.44061302681992337, 'recall': 0.5778894472361809, 'f1-score': 0.5, 'support': 199}, 'Contact_Phone_Number_1stParty': {'precision': 0.25287356321839083, 'recall': 0.1864406779661017, 'f1-score': 0.21463414634146344, 'support': 118}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.73224043715847, 'recall': 0.7928994082840237, 'f1-score': 0.7613636363636365, 'support': 169}, 'Identifier_IP_Address_1stParty': {'precision': 0.4772727272727273, 'recall': 0.32061068702290074, 'f1-score': 0.3835616438356165, 'support': 131}, 'Location_1stParty': {'precision': 0.5739644970414202, 'recall': 0.5672514619883041, 'f1-score': 0.5705882352941176, 'support': 171}, 'accuracy': 0.5203045685279187, 'macro avg': {'precision': 0.4953928503021864, 'recall': 0.4890183364995022, 'f1-score': 0.4860295323669668, 'support': 788}, 'weighted avg': {'precision': 0.5100766027202112, 'recall': 0.5203045685279187, 'f1-score': 0.5092822936440445, 'support': 788}}"
5,"SVC(class_weight='balanced', kernel='linear')","{'Contact_E_Mail_Address_1stParty': {'precision': 0.5188679245283019, 'recall': 0.5527638190954773, 'f1-score': 0.5352798053527981, 'support': 199}, 'Contact_Phone_Number_1stParty': {'precision': 0.29133858267716534, 'recall': 0.3135593220338983, 'f1-score': 0.3020408163265306, 'support': 118}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.7823529411764706, 'recall': 0.7869822485207101, 'f1-score': 0.7846607669616519, 'support': 169}, 'Identifier_IP_Address_1stParty': {'precision': 0.4322033898305085, 'recall': 0.3893129770992366, 'f1-score': 0.4096385542168674, 'support': 131}, 'Location_1stParty': {'precision': 0.6149068322981367, 'recall': 0.5789473684210527, 'f1-score': 0.5963855421686748, 'support': 171}, 'accuracy': 0.5456852791878173, 'macro avg': {'precision': 0.5279339341021166, 'recall': 0.524313147034075, 'f1-score': 0.5256010970053046, 'support': 788}, 'weighted avg': {'precision': 0.5477386157190851, 'recall': 0.5456852791878173, 'f1-score': 0.5462103369562304, 'support': 788}}"
6,"LogisticRegression(max_iter=500, multi_class='ovr', n_jobs=-1, random_state=1)","{'Contact_E_Mail_Address_1stParty': {'precision': 0.515527950310559, 'recall': 0.7614678899082569, 'f1-score': 0.6148148148148148, 'support': 218}, 'Contact_Phone_Number_1stParty': {'precision': 0.13513513513513514, 'recall': 0.04201680672268908, 'f1-score': 0.06410256410256411, 'support': 119}, 'Identifier_Cookie_or_similar_Tech_1stParty': {'precision': 0.5644444444444444, 'recall': 0.7559523809523809, 'f1-score': 0.6463104325699747, 'support': 168}, 'Identifier_Cookie_or_similar_Tech_3rdParty': {'precision': 0.6808510638297872, 'recall': 0.3106796116504854, 'f1-score': 0.42666666666666664, 'support': 103}, 'Identifier_IP_Address_1stParty': {'precision': 0.47619047619047616, 'recall': 0.4, 'f1-score': 0.43478260869565216, 'support': 125}, 'Location_1stParty': {'precision': 0.5477707006369427, 'recall': 0.5375, 'f1-score': 0.5425867507886435, 'support': 160}, 'accuracy': 0.5218365061590146, 'macro avg': {'precision': 0.4866532950912241, 'recall': 0.467936114872302, 'f1-score': 0.45487730627305273, 'support': 893}, 'weighted avg': {'precision': 0.4933791960981389, 'recall': 0.5218365061590146, 'f1-score': 0.48750992195901083, 'support': 893}}"
